epoch,accuracy,f1_score,loss,precision_1,recall_1,val_accuracy,val_f1_score,val_loss,val_precision_1,val_recall_1
11,0.9988826513290405,0.9988657832145691,0.009708158671855927,0.9990994930267334,0.9986343383789062,0.9710738658905029,0.9722343683242798,0.10396257042884827,0.9801867604255676,0.9642457962036133
12,0.9995965361595154,0.9995340704917908,0.006077414844185114,0.9995964765548706,0.9994723796844482,0.9792675375938416,0.9788761138916016,0.08386138081550598,0.9855273365974426,0.9721912145614624
13,0.9990688562393188,0.9991462826728821,0.007075415458530188,0.9992549419403076,0.9990378618240356,0.9815021753311157,0.9820866584777832,0.06905023008584976,0.98732590675354,0.9767845869064331
14,0.9996896386146545,0.9997051358222961,0.0027950212825089693,0.9997206330299377,0.9996896386146545,0.9792675375938416,0.9801151752471924,0.07511090487241745,0.984952986240387,0.9751706719398499
15,0.9996585845947266,0.9996387362480164,0.0033280509524047375,0.9997516870498657,0.9996275305747986,0.9709497094154358,0.9726619124412537,0.10181786119937897,0.9806891083717346,0.9646182656288147
16,0.9979515075683594,0.9978074431419373,0.01095490250736475,0.9982603192329407,0.9973617792129517,0.9795158505439758,0.9804196953773499,0.07327882200479507,0.9854490756988525,0.975294828414917
17,0.9998137950897217,0.9998137950897217,0.0018916013650596142,0.9998137950897217,0.9998137950897217,0.9839851260185242,0.9845656156539917,0.062362924218177795,0.9893443584442139,0.9797641038894653
18,0.9999068975448608,0.9999068975448608,0.0015729699516668916,0.9999068975448608,0.9999068975448608,0.9834885001182556,0.9840322136878967,0.060348108410835266,0.9879849553108215,0.9800124168395996
19,0.9999068975448608,0.9999068975448608,0.0007460095221176744,0.9999068975448608,0.9999068975448608,0.9802607297897339,0.9812490344047546,0.07115812599658966,0.9854727387428284,0.9769087433815002
20,0.9998447895050049,0.9998291730880737,0.0012529048835858703,0.9998447895050049,0.9998137950897217,0.983860969543457,0.9838451743125916,0.06344690918922424,0.9877362251281738,0.9798882603645325
21,1.0,1.0,0.0005097222747281194,1.0,1.0,0.9848541021347046,0.9854778051376343,0.05755988880991936,0.9886292815208435,0.9822470545768738
22,1.0,1.0,0.00034806851181201637,1.0,1.0,0.984481692314148,0.9853506088256836,0.05662504956126213,0.9885042905807495,0.9821228981018066
23,1.0,1.0,0.0002926945162471384,1.0,1.0,0.9847300052642822,0.9854192137718201,0.05612693354487419,0.9882617592811584,0.9824953675270081
24,1.0,1.0,0.00025019238819368184,1.0,1.0,0.9847300052642822,0.9859768152236938,0.05569186806678772,0.9890068769454956,0.9828677773475647
25,1.0,1.0,0.0002144162281183526,1.0,1.0,0.9853507280349731,0.9862187504768372,0.055649060755968094,0.9895012974739075,0.9828677773475647
26,1.0,1.0,0.00018477359844837338,1.0,1.0,0.985226571559906,0.9861078262329102,0.05542067065834999,0.9888874888420105,0.9832402467727661
27,1.0,1.0,0.00015877059195190668,1.0,1.0,0.9853507280349731,0.9863573312759399,0.05478846654295921,0.9888930320739746,0.9837368130683899
28,1.0,1.0,0.00013537042832467705,1.0,1.0,0.9863438606262207,0.9867849349975586,0.05494445562362671,0.9896353483200073,0.983860969543457
29,1.0,1.0,0.00011565293243620545,1.0,1.0,0.9854748845100403,0.9864832758903503,0.05398872494697571,0.9890178442001343,0.983860969543457
30,1.0,1.0,9.911461529554799e-05,1.0,1.0,0.9859714508056641,0.9868013262748718,0.05417012423276901,0.9890246987342834,0.984481692314148
31,1.0,1.0,8.51171716931276e-05,1.0,1.0,0.986592173576355,0.9872837066650391,0.05329457297921181,0.9898901581764221,0.9846058487892151
32,1.0,1.0,7.330373045988381e-05,1.0,1.0,0.9864680171012878,0.9869233965873718,0.05315938964486122,0.9892714619636536,0.984481692314148
33,1.0,1.0,8.827856072457507e-05,1.0,1.0,0.9860956072807312,0.9864920377731323,0.0540940947830677,0.9886519312858582,0.9842333793640137
34,0.999968945980072,0.999968945980072,0.00033690599957481027,0.999968945980072,0.999968945980072,0.9853507280349731,0.986245334148407,0.05624029040336609,0.9882807731628418,0.9841092228889465
35,1.0,1.0,7.267462206073105e-05,1.0,1.0,0.9870887398719788,0.9879721403121948,0.053972288966178894,0.9902706742286682,0.9855989813804626
36,1.0,1.0,4.758942304761149e-05,1.0,1.0,0.9863438606262207,0.9871043562889099,0.05330197885632515,0.9895196557044983,0.9846058487892151
